GT BW,Class BW,Measured BW,GT SF,Class SF,Measured SF (upscaled),Measured SF (downscaled),Measured SF,Height,Confidence,IoU
710938.00,725000.00,718910.22,12,12,12,12,12,0.089864,0.9536,0.9866
304688.00,250000.00,304877.76,12,12,13,12,13,0.038110,0.8643,0.9705
601562.00,725000.00,638711.93,12,12,12,12,12,0.079839,0.7178,0.9318
601562.00,725000.00,599550.01,12,12,12,11,11,0.074944,0.7136,0.9921
710938.00,725000.00,684858.08,12,12,12,12,12,0.085607,0.8898,0.9597
710938.00,725000.00,721339.23,12,12,12,12,12,0.090167,0.8706,0.9356
601562.00,725000.00,607717.51,12,12,12,11,11,0.075965,0.7717,0.9443
710938.00,725000.00,702811.84,12,12,12,12,12,0.087851,0.9742,0.9765
710938.00,725000.00,702804.57,12,12,12,12,12,0.087851,0.9063,0.9612
710938.00,725000.00,733136.65,12,12,12,12,12,0.091642,0.8584,0.9567
585938.00,500000.00,582511.90,12,12,12,12,12,0.072814,0.8318,0.9171
601562.00,725000.00,609441.76,12,12,12,11,11,0.076180,0.7977,0.9789
304688.00,250000.00,292276.38,12,12,12,12,12,0.036535,0.7151,0.9301
710938.00,725000.00,711572.65,12,12,12,12,12,0.088947,0.7075,0.9761
585938.00,500000.00,605966.81,12,12,13,12,13,0.075746,0.7005,0.9210
710938.00,725000.00,733877.66,12,12,12,12,12,0.091735,0.9560,0.9303
304688.00,250000.00,310192.11,12,12,13,12,13,0.038774,0.9120,0.9819
304688.00,250000.00,305845.26,12,12,13,12,13,0.038231,0.8971,0.9536
304688.00,250000.00,305993.08,12,12,13,12,13,0.038249,0.8266,0.9836
304688.00,250000.00,257503.51,12,12,12,12,12,0.032188,0.8252,0.7418
585938.00,500000.00,611574.89,12,12,13,12,13,0.076447,0.8186,0.8921
710938.00,725000.00,782240.15,12,12,12,12,12,0.097780,0.7616,0.7622
710938.00,725000.00,704499.72,12,12,12,12,12,0.088062,0.7188,0.9461
601562.00,725000.00,602408.41,12,12,12,11,11,0.075301,0.7137,0.9655
726562.00,725000.00,897171.02,12,12,13,12,13,0.112146,0.7458,0.7760
742188.00,725000.00,714902.88,11,11,11,11,11,0.089363,0.9693,0.9583
726562.00,725000.00,742067.34,12,12,12,12,12,0.092758,0.8993,0.9728
742188.00,725000.00,732584.00,11,11,11,11,11,0.091573,0.8971,0.9633
742188.00,725000.00,741880.42,11,11,11,11,11,0.092735,0.8536,0.9732
742188.00,725000.00,694135.67,11,11,11,11,11,0.086767,0.8301,0.8937
242188.00,375000.00,241154.79,9,10,10,9,9,0.030144,0.8196,0.9777
242188.00,375000.00,239990.23,9,10,10,9,9,0.029999,0.7950,0.9745
445312.00,375000.00,448728.56,12,12,13,12,13,0.056091,0.7210,0.9686
726562.00,725000.00,724758.15,12,12,12,12,12,0.090595,0.8841,0.9945
445312.00,500000.00,442806.24,12,12,12,12,12,0.055351,0.8552,0.9895
742188.00,725000.00,746253.97,11,11,11,11,11,0.093282,0.9746,0.9914
726562.00,725000.00,734642.98,12,12,12,12,12,0.091830,0.9708,0.9873
726562.00,725000.00,720561.27,12,12,12,12,12,0.090070,0.9569,0.9741
742188.00,725000.00,746770.86,11,11,11,11,11,0.093346,0.9331,0.9900
742188.00,725000.00,746341.23,11,11,11,11,11,0.093293,0.8979,0.9513
726562.00,725000.00,714721.68,12,12,12,12,12,0.089340,0.8930,0.9661
726562.00,725000.00,735568.52,12,12,12,12,12,0.091946,0.8669,0.9766
242188.00,375000.00,244400.02,9,10,10,9,9,0.030550,0.8427,0.9827
742188.00,725000.00,780222.42,11,11,11,11,11,0.097528,0.8082,0.6167
445312.00,500000.00,440557.48,12,12,12,12,12,0.055070,0.7622,0.9803
445312.00,500000.00,457213.94,12,12,12,12,12,0.057152,0.7501,0.9375
382812.00,375000.00,380060.67,11,11,11,11,11,0.047508,0.9694,0.9877
382812.00,375000.00,380474.09,11,11,11,11,11,0.047559,0.9502,0.9925
179688.00,187500.00,178663.25,11,11,11,11,11,0.022333,0.9427,0.9816
382812.00,375000.00,383008.96,11,11,11,11,11,0.047876,0.9426,0.9252
179688.00,187500.00,189599.04,11,11,11,11,11,0.023700,0.8886,0.9376
382812.00,375000.00,379532.81,11,11,11,11,11,0.047442,0.8626,0.9352
148438.00,125000.00,145732.88,10,10,10,10,10,0.018217,0.8170,0.9775
617188.00,725000.00,609923.36,11,11,11,11,11,0.076240,0.7222,0.9815
382812.00,375000.00,379932.40,11,11,11,11,11,0.047492,0.9658,0.9903
382812.00,375000.00,382659.44,11,11,11,11,11,0.047832,0.9433,0.9790
382812.00,375000.00,380888.94,11,11,11,11,11,0.047611,0.9303,0.9752
179688.00,187500.00,176719.43,11,11,11,11,11,0.022090,0.8994,0.9773
148438.00,125000.00,145712.85,10,10,10,10,10,0.018214,0.7792,0.9688
617188.00,725000.00,625287.06,11,11,11,11,11,0.078161,0.7231,0.9145
617188.00,725000.00,637763.02,11,11,11,11,11,0.079720,0.7223,0.6137
617188.00,725000.00,631866.93,11,11,11,11,11,0.078983,0.7112,0.9523
179688.00,187500.00,175998.69,11,11,11,11,11,0.022000,0.9679,0.9503
179688.00,187500.00,181489.94,11,11,11,11,11,0.022686,0.9274,0.7221
382812.00,375000.00,381841.66,11,11,11,11,11,0.047730,0.9237,0.9845
148438.00,125000.00,143829.35,10,10,10,10,10,0.017979,0.8899,0.9639
179688.00,187500.00,179302.69,11,11,11,11,11,0.022413,0.9497,0.9799
179688.00,187500.00,169581.41,11,11,11,11,11,0.021198,0.8880,0.9307
382812.00,375000.00,380105.26,11,11,11,11,11,0.047513,0.8063,0.9641
179688.00,187500.00,181538.58,11,11,11,11,11,0.022692,0.7770,0.9423
148438.00,125000.00,145190.60,10,10,10,10,10,0.018149,0.7700,0.9749
507812.00,500000.00,517107.01,11,11,11,11,11,0.064638,0.9615,0.9771
773438.00,725000.00,782875.06,11,11,11,11,11,0.097859,0.9145,0.9775
773438.00,725000.00,749145.51,11,11,11,11,11,0.093643,0.9046,0.9291
148438.00,125000.00,150859.95,12,12,13,12,13,0.018857,0.8898,0.9195
507812.00,500000.00,522710.80,11,11,11,11,11,0.065339,0.8408,0.9564
773438.00,725000.00,730993.27,11,11,11,11,11,0.091374,0.8037,0.9319
507812.00,500000.00,510709.76,11,11,11,11,11,0.063839,0.9745,0.9856
507812.00,500000.00,497545.24,11,11,11,11,11,0.062193,0.8521,0.9778
773438.00,725000.00,754829.41,11,11,11,11,11,0.094354,0.8067,0.9625
507812.00,500000.00,510192.39,11,11,11,11,11,0.063774,0.9664,0.9874
507812.00,500000.00,518605.71,11,11,11,11,11,0.064826,0.9536,0.9510
507812.00,500000.00,524911.64,11,11,11,11,11,0.065614,0.9523,0.9627
773438.00,725000.00,771720.89,11,11,11,11,11,0.096465,0.9429,0.9807
507812.00,500000.00,530467.03,11,11,11,11,11,0.066308,0.8964,0.9094
101562.00,125000.00,102960.59,10,10,10,9,9,0.012870,0.7610,0.9691
773438.00,725000.00,766747.00,11,11,11,11,11,0.095843,0.9695,0.9783
507812.00,500000.00,513302.80,11,11,11,11,11,0.064163,0.9676,0.9837
