GT BW,Class BW,Measured BW,GT SF,Class SF,Measured SF (upscaled),Measured SF (downscaled),Measured SF,Height,Confidence,IoU
585938.00,500000.00,573399.48,12,12,12,12,12,0.071675,0.9463,0.9728
601562.00,500000.00,599885.94,12,12,13,12,13,0.074986,0.9328,0.9884
304688.00,250000.00,305346.97,12,11,12,11,12,0.038168,0.9313,0.9604
710938.00,500000.00,707388.88,12,11,12,11,12,0.088424,0.8934,0.9738
601562.00,500000.00,628117.08,12,11,12,11,12,0.078515,0.8894,0.9284
601562.00,500000.00,589308.20,12,12,12,12,12,0.073664,0.8637,0.9689
585938.00,500000.00,503657.34,12,11,11,11,11,0.062957,0.7730,0.7721
601562.00,500000.00,596805.39,12,12,13,12,13,0.074601,0.9656,0.9839
601562.00,500000.00,599822.52,12,12,13,12,13,0.074978,0.9230,0.8993
601562.00,500000.00,563125.61,12,12,12,12,12,0.070391,0.9217,0.9129
304688.00,250000.00,317104.34,12,11,12,11,12,0.039638,0.9000,0.9519
710938.00,500000.00,662944.79,12,11,12,11,12,0.082868,0.8851,0.8972
304688.00,250000.00,310266.49,12,11,12,11,12,0.038783,0.8844,0.6161
601562.00,500000.00,633977.89,12,11,12,11,12,0.079247,0.8291,0.9408
304688.00,250000.00,299821.38,12,11,12,11,12,0.037478,0.8229,0.6619
710938.00,500000.00,685160.88,12,11,12,11,12,0.085645,0.9504,0.9339
601562.00,500000.00,601673.25,12,12,13,12,13,0.075209,0.9414,0.9902
585938.00,500000.00,586402.89,12,12,12,12,12,0.073300,0.9372,0.9853
585938.00,500000.00,588888.17,12,12,12,12,12,0.073611,0.8890,0.9573
601562.00,500000.00,613448.14,12,12,13,12,13,0.076681,0.8854,0.9489
710938.00,500000.00,712541.58,12,11,12,11,12,0.089068,0.8755,0.9866
585938.00,500000.00,611307.62,12,12,13,12,13,0.076413,0.8746,0.8618
710938.00,500000.00,677256.11,12,11,12,11,12,0.084657,0.8637,0.9453
304688.00,250000.00,315017.70,12,11,12,11,12,0.039377,0.8514,0.9571
304688.00,250000.00,302185.06,12,12,13,12,13,0.037773,0.8472,0.9691
585938.00,500000.00,592939.38,12,12,12,12,12,0.074117,0.8462,0.9795
601562.00,500000.00,605012.89,12,12,13,12,13,0.075627,0.9079,0.9547
304688.00,250000.00,302031.52,12,11,12,11,12,0.037754,0.9049,0.9802
304688.00,250000.00,299860.95,12,12,13,12,13,0.037483,0.8678,0.9699
304688.00,250000.00,312082.77,12,11,12,11,12,0.039010,0.7806,0.9616
710938.00,500000.00,689192.06,12,11,12,11,12,0.086149,0.7591,0.8985
445312.00,500000.00,456090.93,12,12,12,12,12,0.057011,0.8692,0.9577
445312.00,500000.00,478134.16,12,12,12,12,12,0.059767,0.8123,0.8770
242188.00,250000.00,245149.61,9,10,10,10,10,0.030644,0.7751,0.9723
445312.00,500000.00,452002.53,12,12,12,12,12,0.056500,0.9495,0.9585
445312.00,500000.00,449519.16,12,12,12,12,12,0.056190,0.9490,0.9868
726562.00,500000.00,724149.70,12,11,12,11,12,0.090519,0.9154,0.9963
726562.00,500000.00,652828.22,12,11,12,11,12,0.081604,0.8871,0.8972
242188.00,250000.00,242878.20,9,10,10,10,10,0.030360,0.8715,0.9892
242188.00,500000.00,241615.30,9,11,11,9,9,0.030202,0.8149,0.9863
742188.00,500000.00,705571.65,11,11,12,11,12,0.088196,0.7505,0.8848
726562.00,500000.00,726631.16,12,11,12,11,12,0.090829,0.9522,0.9724
445312.00,500000.00,448289.87,12,12,12,12,12,0.056036,0.9376,0.9858
445312.00,500000.00,447284.70,12,12,12,12,12,0.055911,0.9259,0.9905
726562.00,500000.00,717438.94,12,11,12,11,12,0.089680,0.9481,0.9633
726562.00,500000.00,733459.47,12,11,12,11,12,0.091682,0.9360,0.9737
726562.00,500000.00,716938.02,12,11,12,11,12,0.089617,0.9324,0.9152
726562.00,500000.00,691163.06,12,11,12,11,12,0.086395,0.9095,0.9450
