GT Item Count,Detected Item Count,Measured Item Count,GT Brightness,Estimated Brightness,GT Blur,Estimated Blur,GT Occlusion (%),Estimated Occlusion (%),GT Low Light (0/1),Low Light (0/1)
5,5,5,82,80,1,1,12,10,0,0
7,6,7,76,74,1,2,18,20,0,0
4,4,5,58,55,2,4,28,26,1,1
9,8,9,88,86,1,1,10,12,0,0
11,9,10,62,60,2,4,34,35,1,1
6,6,6,73,69,1,2,16,14,0,0
8,7,8,65,67,1,1,24,22,0,0
10,10,11,91,90,0,1,8,9,0,0
12,10,11,54,52,3,5,30,31,1,1
3,3,3,68,70,0,0,6,7,0,0
14,13,14,77,75,1,2,19,20,0,0
5,4,5,59,58,2,4,27,28,1,1
