GT Temp (C),Thermostat Temp (C),Room Sensor Temp (C),GT Humidity (%),Measured Humidity (%),GT Window Open,Window Open,GT Occupancy,Occupancy,Measured Temp (C)
21.0,21.0,20.4,45,45,0,0,1,1,20.7
22.0,21.2,21.8,48,51,0,0,1,1,21.6
19.0,20.6,19.1,62,64,1,1,0,0,17.9
24.0,23.3,24.7,57,58,0,0,1,1,23.0
26.0,24.0,25.4,63,68,0,1,1,1,24.7
20.0,20.0,20.2,70,72,1,1,1,0,18.6
23.0,22.7,23.2,52,50,0,0,1,1,22.8
18.0,16.8,17.4,66,63,1,1,0,0,16.9
25.0,24.8,25.7,44,43,0,0,1,1,25.2
21.5,22.3,21.1,55,59,1,1,1,1,21.9
19.5,19.0,19.8,61,60,0,0,0,0,19.3
27.0,26.0,27.2,58,65,0,0,1,1,26.4
